id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,decade,vibe,explicit,instrumental
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,75,2020,uplifting,0,0
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,60,2020,nostalgic,0,1
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,55,1990,aggressive,1,0
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,65,2010,peaceful,0,1
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,80,2020,energetic,0,0
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,50,2015,dreamy,0,1
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,45,1980,smooth,0,0
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,2010,nostalgic,0,1
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,62,2020,peaceful,0,1
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,72,2015,uplifting,0,0
11,Urban Beats,Rhythm Kings,hip-hop,energetic,0.88,95,0.72,0.85,0.12,78,2015,aggressive,1,0
12,Midnight Melancholy,Luna Wave,indie pop,sad,0.45,92,0.38,0.68,0.72,55,2018,melancholic,0,0
13,Dancefloor Bliss,Synth Wave,electronic,happy,0.89,128,0.86,0.91,0.08,85,2018,euphoric,0,1
14,Heavy Thunder,Iron Forge,metal,intense,0.95,160,0.35,0.72,0.05,60,2010,aggressive,1,0
15,Island Vibes,Tropical Rain,reggae,relaxed,0.62,98,0.74,0.78,0.65,50,1990,smooth,0,0
16,Folk Whispers,Mountain Songs,folk,melancholic,0.38,85,0.52,0.45,0.89,40,2000,peaceful,0,1
17,Summer Groove,Beach Beats,pop,uplifting,0.80,120,0.87,0.84,0.25,82,2019,euphoric,0,0
18,Silent Echo,Quiet Space,ambient,focused,0.25,55,0.48,0.28,0.95,48,2021,dreamy,0,1
